"csi","reasons"
"ses","I typically share that I grew up in a low-income household with people"
"fgen","I typically share that I am a first-generation college student with people"
"transfer","I typically share my college transfer status with people"
"anxiety","I felt that revealing my anxiety to students in this course was appropriate<split here>I felt my anxiety was relevant to the students in this course<split here>I prefer to live authentically or be open with others about my anxiety<split here>I wanted to be an example to my students of someone with anxiety<split here>I wanted to serve as a mentor to students with anxiety<split here>I wanted to be known as a supporter of individuals with anxiety<split here>I thought revealing my anxiety could help students understand me or my circumstances better"
"disability","I wanted to be an example to my students of someone who has a disability<split here>I thought revealing that I have a disability could help students understand me or my circumstances better"
"depress","I felt that revealing my depression to students in this course was appropriate<split here>I wanted to be an example to my students of someone with depression<split here>I thought revealing my depression could make students more comfortable"
"struggle","I felt that revealing my previous academic struggle in college to students in this course was appropriate<split here>I felt my previous academic struggle in college was relevant to the students in this course<split here>I wanted to be an example to my students as someone who struggled academically in college<split here>I thought revealing my previous academic struggle in college could make students more comfortable"
"depress","I felt my depression was relevant to the students in this course<split here>I wanted to be an example to my students of someone with depression<split here>I thought that I could better engage students in the course material by making a connection between my depression and the course content"
"struggle","I felt that revealing my previous academic struggle in college to students in this course was appropriate<split here>I felt my previous academic struggle in college was relevant to the students in this course<split here>I wanted to be an example to my students as someone who struggled academically in college<split here>I wanted to serve as a mentor to students who struggle academically in college<split here>I wanted to be known as a supporter of individuals who struggle academically in college<split here>I thought revealing my previous academic struggle in college could make me more relatable to students<split here>I thought revealing my previous academic struggle in college could make students more comfortable<split here>I thought that I could better engage students in the course material by making a connection between my previous academic struggle in college and the course content"
"struggle","I felt that revealing my previous academic struggle in college to students in this course was appropriate<split here>I typically share my previous academic struggle in college with people<split here>I felt my previous academic struggle in college was relevant to the students in this course<split here>I felt my previous academic struggle in college was relevant to the course content<split here>I wanted to be an example to my students as someone who struggled academically in college<split here>I wanted to be known as a supporter of individuals who struggle academically in college<split here>I thought revealing my previous academic struggle in college could make me more relatable to students<split here>I thought revealing my previous academic struggle in college could make students more comfortable"
